15	10	E	-9636362.400170617	200
emissionprobs	1	5	H3K4me3	1	0.7527744437032795
emissionprobs	1	6	H3K79me2	0	0.9542125548215908
emissionprobs	1	6	H3K79me2	1	0.045787445178409075
emissionprobs	1	7	H3K9ac	0	0.5837895082935002
emissionprobs	1	7	H3K9ac	1	0.41621049170649965
emissionprobs	1	8	H3K9me3	0	0.9522992206706714
emissionprobs	1	8	H3K9me3	1	0.04770077932932866
emissionprobs	1	9	H4K20me1	0	0.9175309587751022
emissionprobs	1	9	H4K20me1	1	0.08246904122489787
emissionprobs	2	0	CTCF	0	0.7411181094180976
emissionprobs	2	0	CTCF	1	0.25888189058190236
emissionprobs	2	1	EZH2	0	0.897470209754051
emissionprobs	2	1	EZH2	1	0.102529790245949
emissionprobs	2	2	H2AFZ	0	0.15726910021335858
emissionprobs	2	2	H2AFZ	1	0.8427308997866414
emissionprobs	2	3	H3K27ac	0	0.06256554595464059
emissionprobs	2	3	H3K27ac	1	0.9374344540453594
emissionprobs	2	4	H3K27me3	0	0.9962094354837314
emissionprobs	2	4	H3K27me3	1	0.0037905645162685585
emissionprobs	2	5	H3K4me3	0	0.05125678360673379
emissionprobs	2	5	H3K4me3	1	0.9487432163932662
emissionprobs	2	6	H3K79me2	0	0.9564875128187448
emissionprobs	2	6	H3K79me2	1	0.043512487181255215
emissionprobs	2	7	H3K9ac	0	0.03303717168875246
emissionprobs	2	7	H3K9ac	1	0.9669628283112475
emissionprobs	2	8	H3K9me3	0	0.9964222125500904
emissionprobs	2	8	H3K9me3	1	0.0035777874499095573
emissionprobs	2	9	H4K20me1	0	0.9935757958872655
emissionprobs	2	9	H4K20me1	1	0.006424204112734505
emissionprobs	3	0	CTCF	0	0.7833916204379551
emissionprobs	3	0	CTCF	1	0.21660837956204498
emissionprobs	3	1	EZH2	0	0.9015818480031189
emissionprobs	3	1	EZH2	1	0.09841815199688106
emissionprobs	3	2	H2AFZ	0	0.22303690155053665
emissionprobs	3	2	H2AFZ	1	0.7769630984494634
emissionprobs	3	3	H3K27ac	0	0.042926174060285975
emissionprobs	3	3	H3K27ac	1	0.957073825939714
emissionprobs	3	4	H3K27me3	0	0.9975718515547459
emissionprobs	3	4	H3K27me3	1	0.002428148445254094
emissionprobs	3	5	H3K4me3	0	8.531143345888057E-4
emissionprobs	3	5	H3K4me3	1	0.9991468856654112
emissionprobs	3	6	H3K79me2	0	0.02904290593275366
emissionprobs	3	6	H3K79me2	1	0.9709570940672464
emissionprobs	3	7	H3K9ac	0	0.001362483904266974
emissionprobs	3	7	H3K9ac	1	0.9986375160957329
emissionprobs	3	8	H3K9me3	0	0.9977655173005398
emissionprobs	3	8	H3K9me3	1	0.0022344826994602747
emissionprobs	3	9	H4K20me1	0	0.8423297179954742
emissionprobs	3	9	H4K20me1	1	0.15767028200452585
emissionprobs	4	0	CTCF	0	0.969602143709285
emissionprobs	4	0	CTCF	1	0.03039785629071501
emissionprobs	4	1	EZH2	0	0.9660857575480467
emissionprobs	4	1	EZH2	1	0.033914242451953305
emissionprobs	4	2	H2AFZ	0	0.9924016291265855
emissionprobs	4	2	H2AFZ	1	0.007598370873414518
emissionprobs	4	3	H3K27ac	0	0.6552992711704395
emissionprobs	4	3	H3K27ac	1	0.34470072882956043
emissionprobs	4	4	H3K27me3	0	0.9991056640029423
emissionprobs	4	4	H3K27me3	1	8.943359970577066E-4
emissionprobs	4	5	H3K4me3	0	0.09049227794089776
emissionprobs	4	5	H3K4me3	1	0.9095077220591022
emissionprobs	4	6	H3K79me2	0	0.02150732738282816
emissionprobs	4	6	H3K79me2	1	0.9784926726171719
emissionprobs	4	7	H3K9ac	0	0.3543480252465074
emissionprobs	4	7	H3K9ac	1	0.6456519747534926
emissionprobs	4	8	H3K9me3	0	0.9912941008872485
emissionprobs	4	8	H3K9me3	1	0.008705899112751523
emissionprobs	4	9	H4K20me1	0	0.4203472431585685
emissionprobs	4	9	H4K20me1	1	0.5796527568414315
emissionprobs	5	0	CTCF	0	0.9790414204235368
emissionprobs	5	0	CTCF	1	0.02095857957646312
emissionprobs	5	1	EZH2	0	0.975015531575644
emissionprobs	5	1	EZH2	1	0.024984468424356043
emissionprobs	5	2	H2AFZ	0	0.9999343079806431
emissionprobs	5	2	H2AFZ	1	6.569201935693054E-5
emissionprobs	5	3	H3K27ac	0	0.9559877940610624
emissionprobs	5	3	H3K27ac	1	0.04401220593893771
emissionprobs	5	4	H3K27me3	0	0.9998721038537262
emissionprobs	5	4	H3K27me3	1	1.2789614627375026E-4
emissionprobs	5	5	H3K4me3	0	0.9937927759873936
emissionprobs	5	5	H3K4me3	1	0.006207224012606447
emissionprobs	5	6	H3K79me2	0	0.03416691380122785
emissionprobs	5	6	H3K79me2	1	0.9658330861987722
emissionprobs	5	7	H3K9ac	0	0.9507098491556213
emissionprobs	5	7	H3K9ac	1	0.049290150844378634
emissionprobs	5	8	H3K9me3	0	0.9984505294580436
emissionprobs	5	8	H3K9me3	1	0.0015494705419563414
emissionprobs	5	9	H4K20me1	0	0.22651067933488386
emissionprobs	5	9	H4K20me1	1	0.7734893206651162
emissionprobs	6	0	CTCF	0	0.9939027547932932
emissionprobs	6	0	CTCF	1	0.006097245206706816
emissionprobs	6	1	EZH2	0	0.9794202445659796
emissionprobs	6	1	EZH2	1	0.02057975543402037
emissionprobs	6	2	H2AFZ	0	0.9997896015419875
emissionprobs	6	2	H2AFZ	1	2.10398458012583E-4
emissionprobs	6	3	H3K27ac	0	0.9906064176861542
emissionprobs	6	3	H3K27ac	1	0.00939358231384575
emissionprobs	6	4	H3K27me3	0	0.9988866308713249
emissionprobs	6	4	H3K27me3	1	0.0011133691286750588
emissionprobs	6	5	H3K4me3	0	0.9999033063736
emissionprobs	6	5	H3K4me3	1	9.66936263999917E-5
emissionprobs	6	6	H3K79me2	0	0.9475984693283925
emissionprobs	6	6	H3K79me2	1	0.052401530671607445
emissionprobs	6	7	H3K9ac	0	0.977176958152812
emissionprobs	6	7	H3K9ac	1	0.022823041847187905
emissionprobs	6	8	H3K9me3	0	0.9993836452401648
emissionprobs	6	8	H3K9me3	1	6.163547598351665E-4
emissionprobs	6	9	H4K20me1	0	0.878254856152741
emissionprobs	6	9	H4K20me1	1	0.1217451438472589
emissionprobs	7	0	CTCF	0	0.9959666703697043
emissionprobs	7	0	CTCF	1	0.0040333296302955905
emissionprobs	7	1	EZH2	0	0.982283426490539
emissionprobs	7	1	EZH2	1	0.017716573509460955
emissionprobs	7	2	H2AFZ	0	0.9998094550234092
emissionprobs	7	2	H2AFZ	1	1.90544976590803E-4
emissionprobs	7	3	H3K27ac	0	0.9929127867581157
emissionprobs	7	3	H3K27ac	1	0.007087213241884309
emissionprobs	7	4	H3K27me3	0	0.9999677241974246
emissionprobs	7	4	H3K27me3	1	3.227580257533617E-5
emissionprobs	7	5	H3K4me3	0	0.9973103420522001
emissionprobs	7	5	H3K4me3	1	0.002689657947799879
emissionprobs	7	6	H3K79me2	0	0.373575203896198
emissionprobs	7	6	H3K79me2	1	0.626424796103802
emissionprobs	7	7	H3K9ac	0	0.9778917099401336
emissionprobs	7	7	H3K9ac	1	0.022108290059866368
emissionprobs	7	8	H3K9me3	0	0.9718264647837718
emissionprobs	7	8	H3K9me3	1	0.028173535216228247
emissionprobs	7	9	H4K20me1	0	0.9184498863118576
emissionprobs	7	9	H4K20me1	1	0.08155011368814238
emissionprobs	8	0	CTCF	0	0.9472647790660441
emissionprobs	8	0	CTCF	1	0.05273522093395596
emissionprobs	8	1	EZH2	0	0.9610891224479342
emissionprobs	8	1	EZH2	1	0.03891087755206572
emissionprobs	8	2	H2AFZ	0	0.9803333042434186
emissionprobs	8	2	H2AFZ	1	0.019666695756581348
emissionprobs	8	3	H3K27ac	0	0.14597240213222445
emissionprobs	8	3	H3K27ac	1	0.8540275978677756
emissionprobs	8	4	H3K27me3	0	0.9999577353134552
emissionprobs	8	4	H3K27me3	1	4.2264686544814536E-5
emissionprobs	8	5	H3K4me3	0	0.9604563493198888
emissionprobs	8	5	H3K4me3	1	0.039543650680111175
emissionprobs	8	6	H3K79me2	0	0.13072403179429648
emissionprobs	8	6	H3K79me2	1	0.8692759682057035
emissionprobs	8	7	H3K9ac	0	0.6121413686795957
emissionprobs	8	7	H3K9ac	1	0.3878586313204043
emissionprobs	8	8	H3K9me3	0	0.99189151363273
emissionprobs	8	8	H3K9me3	1	0.008108486367269921
emissionprobs	8	9	H4K20me1	0	0.7515759047399531
emissionprobs	8	9	H4K20me1	1	0.24842409526004688
emissionprobs	9	0	CTCF	0	0.9372366635474445
emissionprobs	9	0	CTCF	1	0.06276333645255558
emissionprobs	9	1	EZH2	0	0.9551129383901693
emissionprobs	9	1	EZH2	1	0.044887061609830685
emissionprobs	9	2	H2AFZ	0	0.7526978295948532
emissionprobs	9	2	H2AFZ	1	0.2473021704051469
emissionprobs	9	3	H3K27ac	0	0.1398625552267099
emissionprobs	9	3	H3K27ac	1	0.86013744477329
emissionprobs	9	4	H3K27me3	0	0.9986611314866187
emissionprobs	9	4	H3K27me3	1	0.0013388685133813312
emissionprobs	9	5	H3K4me3	0	0.9843876761259683
emissionprobs	9	5	H3K4me3	1	0.015612323874031742
emissionprobs	9	6	H3K79me2	0	0.9858473327451608
emissionprobs	9	6	H3K79me2	1	0.014152667254839137
emissionprobs	9	7	H3K9ac	0	0.6060825966277406
emissionprobs	9	7	H3K9ac	1	0.3939174033722594
emissionprobs	9	8	H3K9me3	0	0.9824768664020478
emissionprobs	9	8	H3K9me3	1	0.017523133597952077
emissionprobs	9	9	H4K20me1	0	0.9918270930109602
emissionprobs	9	9	H4K20me1	1	0.008172906989039922
emissionprobs	10	0	CTCF	0	0.9981174678503912
emissionprobs	10	0	CTCF	1	0.0018825321496088259
emissionprobs	10	1	EZH2	0	0.9733612697567073
emissionprobs	10	1	EZH2	1	0.026638730243292642
emissionprobs	10	2	H2AFZ	0	0.961196441912837
emissionprobs	10	2	H2AFZ	1	0.03880355808716304
emissionprobs	10	3	H3K27ac	0	0.9902619723749762
emissionprobs	10	3	H3K27ac	1	0.009738027625023904
emissionprobs	10	4	H3K27me3	0	0.9990266189483791
emissionprobs	10	4	H3K27me3	1	9.733810516208818E-4
emissionprobs	10	5	H3K4me3	0	0.9999915189542045
emissionprobs	10	5	H3K4me3	1	8.481045795551164E-6
emissionprobs	10	6	H3K79me2	0	0.9998169605082535
emissionprobs	10	6	H3K79me2	1	1.8303949174649988E-4
emissionprobs	10	7	H3K9ac	0	0.9829644170162339
emissionprobs	10	7	H3K9ac	1	0.017035582983766128
emissionprobs	10	8	H3K9me3	0	0.9962651986644866
emissionprobs	10	8	H3K9me3	1	0.0037348013355134255
emissionprobs	10	9	H4K20me1	0	0.9994428539719391
emissionprobs	10	9	H4K20me1	1	5.571460280608719E-4
emissionprobs	11	0	CTCF	0	0.9995440753518069
emissionprobs	11	0	CTCF	1	4.559246481931606E-4
emissionprobs	11	1	EZH2	0	0.9818801344962945
emissionprobs	11	1	EZH2	1	0.018119865503705385
emissionprobs	11	2	H2AFZ	0	0.9982102316889423
emissionprobs	11	2	H2AFZ	1	0.0017897683110576887
emissionprobs	11	3	H3K27ac	0	0.9999391467850046
emissionprobs	11	3	H3K27ac	1	6.085321499547629E-5
emissionprobs	11	4	H3K27me3	0	0.9962220824204704
emissionprobs	11	4	H3K27me3	1	0.003777917579529634
emissionprobs	11	5	H3K4me3	0	0.999994598922651
emissionprobs	11	5	H3K4me3	1	5.401077349090073E-6
emissionprobs	11	6	H3K79me2	0	0.9999510984253985
emissionprobs	11	6	H3K79me2	1	4.890157460142844E-5
emissionprobs	11	7	H3K9ac	0	0.9955459067477468
emissionprobs	11	7	H3K9ac	1	0.004454093252253342
emissionprobs	11	8	H3K9me3	0	0.9964928698903126
emissionprobs	11	8	H3K9me3	1	0.0035071301096874204
emissionprobs	11	9	H4K20me1	0	0.9992653664439703
emissionprobs	11	9	H4K20me1	1	7.34633556029751E-4
emissionprobs	12	0	CTCF	0	1.0
emissionprobs	12	0	CTCF	1	2.6979268558436805E-25
emissionprobs	12	1	EZH2	0	0.31364920191749807
emissionprobs	12	1	EZH2	1	0.686350798082502
emissionprobs	12	2	H2AFZ	0	0.9797280519829671
emissionprobs	12	2	H2AFZ	1	0.02027194801703293
emissionprobs	12	3	H3K27ac	0	0.9993144112121077
emissionprobs	12	3	H3K27ac	1	6.855887878922004E-4
emissionprobs	12	4	H3K27me3	0	0.9545082528852722
emissionprobs	12	4	H3K27me3	1	0.04549174711472776
emissionprobs	12	5	H3K4me3	0	1.0
emissionprobs	12	5	H3K4me3	1	1.2830125576366026E-136
emissionprobs	12	6	H3K79me2	0	0.999938995524038
emissionprobs	12	6	H3K79me2	1	6.100447596200917E-5
emissionprobs	12	7	H3K9ac	0	0.9799429297263518
emissionprobs	12	7	H3K9ac	1	0.020057070273648267
emissionprobs	12	8	H3K9me3	0	0.9781513487626794
emissionprobs	12	8	H3K9me3	1	0.02184865123732064
emissionprobs	12	9	H4K20me1	0	0.9951297094926453
emissionprobs	12	9	H4K20me1	1	0.004870290507354662
emissionprobs	13	0	CTCF	0	0.9982032290453116
emissionprobs	13	0	CTCF	1	0.0017967709546884746
emissionprobs	13	1	EZH2	0	0.9190825908774665
emissionprobs	13	1	EZH2	1	0.08091740912253349
emissionprobs	13	2	H2AFZ	0	0.9950004063283466
emissionprobs	13	2	H2AFZ	1	0.004999593671653416
emissionprobs	13	3	H3K27ac	0	0.9999015302320051
emissionprobs	13	3	H3K27ac	1	9.846976799483134E-5
emissionprobs	13	4	H3K27me3	0	0.8040397720253084
emissionprobs	13	4	H3K27me3	1	0.1959602279746915
emissionprobs	13	5	H3K4me3	0	0.9999775481778354
emissionprobs	13	5	H3K4me3	1	2.2451822164694383E-5
emissionprobs	13	6	H3K79me2	0	0.9999937329721451
emissionprobs	13	6	H3K79me2	1	6.267027854798421E-6
emissionprobs	13	7	H3K9ac	0	0.9901695358996498
emissionprobs	13	7	H3K9ac	1	0.009830464100350185
emissionprobs	13	8	H3K9me3	0	0.9988238912644533
emissionprobs	13	8	H3K9me3	1	0.001176108735546724
emissionprobs	13	9	H4K20me1	0	0.9858365920829547
emissionprobs	13	9	H4K20me1	1	0.014163407917045293
emissionprobs	14	0	CTCF	0	0.07163952031167038
emissionprobs	14	0	CTCF	1	0.9283604796883296
emissionprobs	14	1	EZH2	0	0.9298030996580592
emissionprobs	14	1	EZH2	1	0.07019690034194091
emissionprobs	14	2	H2AFZ	0	0.9357157743904538
emissionprobs	14	2	H2AFZ	1	0.06428422560954625
emissionprobs	14	3	H3K27ac	0	0.9840292989616636
emissionprobs	14	3	H3K27ac	1	0.015970701038336477
emissionprobs	14	4	H3K27me3	0	0.9453934498463251
emissionprobs	14	4	H3K27me3	1	0.054606550153674965
emissionprobs	14	5	H3K4me3	0	0.9987777174594334
emissionprobs	14	5	H3K4me3	1	0.0012222825405665714
emissionprobs	14	6	H3K79me2	0	0.9952890621014135
emissionprobs	14	6	H3K79me2	1	0.0047109378985863955
emissionprobs	14	7	H3K9ac	0	0.9703001891730979
emissionprobs	14	7	H3K9ac	1	0.029699810826902158
emissionprobs	14	8	H3K9me3	0	0.9942147350871222
emissionprobs	14	8	H3K9me3	1	0.005785264912877888
emissionprobs	14	9	H4K20me1	0	0.9390492844310043
emissionprobs	14	9	H4K20me1	1	0.06095071556899569
emissionprobs	15	0	CTCF	0	0.9936634206264593
emissionprobs	15	0	CTCF	1	0.006336579373540614
emissionprobs	15	1	EZH2	0	0.9685382808537987
emissionprobs	15	1	EZH2	1	0.03146171914620128
emissionprobs	15	2	H2AFZ	0	0.9876608075901365
emissionprobs	15	2	H2AFZ	1	0.012339192409863423
emissionprobs	15	3	H3K27ac	0	0.9963719802905613
